county_FIPS,state,county,per_capita_personal_income_2019,per_capita_personal_income_2020,per_capita_personal_income_2021,associate_degree_numbers_2016_2020,bachelor_degree_numbers_2016_2020,associate_degree_percentage_2016_2020,bachelor_degree_percentage_2015_2019,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,AGE513_TOT,AGE1417_TOT,AGE18PLUS_TOT,AGE65PLUS_TOT,MEDIAN_AGE_TOT
45007,SC,"Anderson, SC",41621,43933,46894,43254,33261,31.35,24.11,203721.0,98588.0,105133.0,11699.0,24125.0,10909.0,156988.0,36670.0,40.4
31005,NE,"Arthur, NE",49775,54348,58171,138,74,44.95,24.1,433.0,215.0,218.0,24.0,60.0,31.0,318.0,98.0,40.9
45047,SC,"Greenwood, SC",38712,41762,44723,14195,11584,29.53,24.1,69351.0,32533.0,36818.0,4125.0,8252.0,3492.0,53482.0,12895.0,39.2
51101,VA,"King William, VA",47526,50309,53900,4388,2850,37.1,24.09,17813.0,8802.0,9011.0,1070.0,2070.0,968.0,13705.0,2888.0,39.9
56011,WY,"Crook, WY",48636,49756,51825,2010,1248,38.74,24.06,7176.0,3623.0,3553.0,481.0,916.0,384.0,5395.0,1539.0,44.2
19079,IA,"Hamilton, IA",51007,50276,58126,3956,2526,37.65,24.04,15039.0,7576.0,7463.0,964.0,1770.0,855.0,11450.0,3019.0,42.1
49055,UT,"Wayne, UT",45183,50067,52647,848,438,46.54,24.04,2487.0,1272.0,1215.0,146.0,289.0,148.0,1904.0,567.0,43.8
20197,KS,"Wabaunsee, KS",51977,55142,58400,1716,1144,36.04,24.03,6875.0,3525.0,3350.0,367.0,809.0,391.0,5308.0,1396.0,43.2
48141,TX,"El Paso, TX",37894,40768,44064,163344,123543,31.77,24.03,865710.0,429738.0,435972.0,61407.0,118293.0,53274.0,632736.0,108136.0,32.8
51073,VA,"Gloucester, VA",49305,52410,55944,9331,6562,34.13,24.0,38714.0,19232.0,19482.0,1928.0,4012.0,1858.0,30916.0,7577.0,44.5
